subject,session,meditation,band,pre_rel,post_rel,delta_pp
wl,4_wl_lkm,LKM,gamma,4.087126158773768,0.8321781831328826,-3.2549479756408854
wl,5_wl_om,OM,delta,54.527852065888936,54.96440203636031,0.43654997047137556
wl,5_wl_om,OM,theta,21.753425609797887,22.48319733894674,0.7297717291488546
wl,5_wl_om,OM,alpha,5.284616627274441,4.979315983773157,-0.30530064350128416
wl,5_wl_om,OM,beta,8.539076591707612,10.22035558219279,1.6812789904851773
wl,5_wl_om,OM,gamma,6.921851495316708,5.980126287445919,-0.941725207870789
wn_bt,1_wn_mm,MM,delta,27.30047093212447,7.398077898452025,-19.902393033672446
wn_bt,1_wn_mm,MM,theta,10.43142793603748,17.857678264247294,7.4262503282098145
wn_bt,1_wn_mm,MM,alpha,8.14879653842333,11.680554828399249,3.531758289975919
wn_bt,1_wn_mm,MM,beta,46.96837333463862,52.82842594491471,5.860052610276092
wn_bt,1_wn_mm,MM,gamma,4.8547898998957395,8.17401885932434,3.3192289594286004
wn_bt,2_wn_bsm,BSM,delta,43.339433754581975,38.214620884278844,-5.124812870303131
wn_bt,2_wn_bsm,BSM,theta,10.995534428616516,10.106035256188054,-0.8894991724284615
wn_bt,2_wn_bsm,BSM,alpha,6.994438148381538,7.257973816455583,0.26353566807404505
wn_bt,2_wn_bsm,BSM,beta,32.08421781605729,38.08370030500707,5.999482488949781
wn_bt,2_wn_bsm,BSM,gamma,4.477458420361695,4.44818701901631,-0.029271401345384973
wn_bt,3_wn_om,OM,delta,25.67359472929617,34.35300868827303,8.679413958976859
wn_bt,3_wn_om,OM,theta,9.193379562788696,7.801900455055259,-1.3914791077334367
wn_bt,3_wn_om,OM,alpha,10.0608894544147,7.449788346489023,-2.611101107925676
wn_bt,3_wn_om,OM,beta,46.92158976418149,43.637398679219,-3.284191084962494
wn_bt,3_wn_om,OM,gamma,5.409861831759142,5.056818847777648,-0.3530429839814939
wn_bt,4_wn_fam,FAM,delta,41.8094464315397,48.596479873809734,6.787033442270037
wn_bt,4_wn_fam,FAM,theta,9.966289928909342,13.760575215121452,3.7942852862121104
wn_bt,4_wn_fam,FAM,alpha,7.151313520597686,7.971881326928505,0.8205678063308195
